cleaning,cleaned_x,predicted_sentiment
presiden pilih ri makan malam diskusi presiden tukar pikir kait penting negara bangsa rakyat indonesia,presiden pilih makan malam diskusi presiden tukar pikir kait penting negara bangsa rakyat indonesia,neutral
wajar jokowi jenguk abdee slank slank slankersnya totalitas dukung jokowi value anti orba nepotisme korupsi presiden kalang rakyat elit taat konstitusi dukung gibran,wajar jokowi jenguk abdee slank slank slankersnya totalitas dukung jokowi value anti orba nepotisme korupsi presiden kalang rakyat elit taat konstitusi dukung gibran,negative
sudah politik peristiwa propaganda prabowo jemput gibran bandara antar temu jokowi teknik propaganda tampil layar dukung fyi,sudah politik peristiwa propaganda prabowo jemput gibran bandara antar temu jokowi teknik propaganda tampil layar dukung fyi,negative
rakyat gibran beneran anak presiden jokowi bingung,rakyat gibran beneran anak presiden jokowi bingung,negative
engga peluang gibranjokowi engga sah atur adartnya partai golkar syarat penuh aktif terus anggota partai golkar sekurangkurangnya anggota partai politik orang,engga peluang gibranjokowi engga sah atur adartnya partai golkar syarat penuh aktif terus anggota partai golkar sekurangkurangnya anggota partai politik orang,positive
intip indah arsitektur masjid raya syeikh zayed solo besok resmi presiden jokowi putra mahkota uni emirat arab sheikh mohammed bin zayed al nahyan,intip indah arsitektur masjid raya syeikh zayed solo besok resmi presiden jokowi putra mahkota uni emirat arab sheikh mohammed bin zayed nahyan,positive
opini gambar panik blunder gibran keluarga jokowi rakyat fufufafa gibran psi kaesang gibran ban apa fufufafa,opini gambar panik blunder gibran keluarga jokowi rakyat fufufafa gibran psi kaesang gibran ban apa fufufafa,negative
bahlil perintah prabowogibran lanjut perintah jokowimaruf amin paten raja jawa mainmain celaka kasih aja cobacoba main barang ngeringeri sedap,bahlil perintah prabowogibran lanjut perintah jokowimaruf amin paten raja jawa mainmain celaka kasih aja cobacoba main barang ngeringeri sedap,neutral
gibran selundup cawapres prabowo paman mk paham jokowi dukung prabowo apa  jokowi kejut jokowi bicara netralitas netral kah,gibran selundup cawapres prabowo paman paham jokowi dukung prabowo apa jokowi kejut jokowi bicara netralitas netral kah,negative
takut undang podcastnya pandji kaesang ngelesnya umroh umroh gak kelar marshel bilang abang prabowo gibran jokowi mentok podcast deddy corbuzier bahas santai aja,takut undang podcastnya pandji kaesang ngelesnya umroh umroh gak kelar marshel bilang abang prabowo gibran jokowi mentok podcast deddy corbuzier bahas santai aja,negative
ucap jokowi presiden kampanye pihak kian picu gejolak internal kabinet indikasi solid menteri afiliasi caprescawapres prabowogibran disebutsebut gerah berancangancang,ucap jokowi presiden kampanye pihak kian picu gejolak internal kabinet indikasi solid menteri afiliasi caprescawapres prabowogibran disebutsebut gerah berancangancang,neutral
foto wisuda ugm mas orangtuanya blm lihat foto pk wisuda ugm orangtuanya ya lazim banget kalo anak ugm tweet aja deh bran foto wisuda orangtuamu aja wisuda,foto wisuda ugm mas orangtuanya blm lihat foto wisuda ugm orangtuanya lazim banget kalo anak ugm tweet aja deh bran foto wisuda orangtuamu aja wisuda,neutral
rencana upacara annya jakarta ikn ikn jokowi prabowo jakarta ma aruf gibran  upacara ikn engga nginep pp pulang pergi datengupacarapulang gokil,rencana upacara annya jakarta ikn ikn jokowi prabowo jakarta aruf gibran upacara ikn engga nginep pulang pergi datengupacarapulang gokil,neutral
team khianat praboro khianat dukung setia gibran khianat kpd pdip bobby khianat pdip jokowi khianat bu mega anwar usman khianat kpd konstitusi budiman khianat aktivis buzzernya khianat,team khianat praboro khianat dukung setia gibran khianat kpd pdip bobby khianat pdip jokowi khianat mega anwar usman khianat kpd konstitusi budiman khianat aktivis buzzernya khianat,positive
jokowi sukses pelihara miskin karir anak jokowi andil menang prabowogibran anak pilpres andai jokowi prabowo anak macan hujan gigil jokowi libat,jokowi sukses pelihara miskin karir anak jokowi andil menang prabowogibran anak pilpres andai jokowi prabowo anak macan hujan gigil jokowi libat,negative
bansos efektif kerek suara prabowogibran matimatian sokong jokowi dampak serius imbas ekonomi nasional,bansos efektif kerek suara prabowogibran matimatian sokong jokowi dampak serius imbas ekonomi nasional,neutral
sbg gerak literasi miris laku gibran idap lain psikologis video bawah mjd bukti alangkah nista indonesia pimpin bocil psikopat kek gin,sbg gerak literasi miris laku gibran idap lain psikologis video bawah mjd bukti alangkah nista indonesia pimpin bocil psikopat kek gin,neutral
besok pimpin mpr undang lantik presiden prabowo jokowi maruf gibran,besok pimpin mpr undang lantik presiden prabowo jokowi maruf gibran,negative
paham anies umum salah timbang trauma berat bu mega khianat kader jokowi gibran bobby khianat kalo kader pasti usung komitmen,paham anies umum salah timbang trauma berat mega khianat kader jokowi gibran bobby khianat kalo kader pasti usung komitmen,negative
jokowi turun gunung naik coba elektabilitas prabowogibran kunjung tembus persen laku,jokowi turun gunung naik coba elektabilitas prabowogibran kunjung tembus persen laku,neutral
kenang sblm milu milu presiden jokowi pasang pasang prabowo ganjar sdh berikutx gp ri tp dgn angkuh bu mega gagal total naik gibran itung kader pdip mnurut jokowi,kenang sblm milu milu presiden jokowi pasang pasang prabowo ganjar sdh berikutx dgn angkuh mega gagal total naik gibran itung kader pdip mnurut jokowi,negative
mulia ratu iriana acara bocor alus tempo gibran calon wakil presiden iri kesal megawati malu jokowi hadap kader pdi juang pdip jokowi,mulia ratu iriana acara bocor alus tempo gibran calon wakil presiden iri kesal megawati malu jokowi hadap kader pdi juang pdip jokowi,negative
cc tweet paman usman,tweet paman usman,neutral
gibran duplikat jokowi gilbran balik fakta sebenernya,gibran duplikat jokowi gilbran balik fakta sebenernya,negative
yth bpk pres sy henyak baca artikel jk kompas hilir bpk  jg jd narasi utama capres amp tweet ban mantan wakil dgn data ukur  hrs percaya binsar,yth bpk pres henyak baca artikel kompas hilir bpk narasi utama capres amp tweet ban mantan wakil dgn data ukur hrs percaya binsar,negative
 drama rakyat nalar waras keluarga bingung jumawa lupa ngaca jelasjelas putra gibran cawapres ilegal nunjuk orang drakor rakyat,drama rakyat nalar waras keluarga bingung jumawa lupa ngaca jelasjelas putra gibran cawapres ilegal nunjuk orang drakor rakyat,negative
gibran cawapres boneka cawapres pamer gagas pamer pertamatama salut gibran berani sikap lumrah cawapres pamer ideide gagas gibran bangga pamer,gibran cawapres boneka cawapres pamer gagas pamer pertamatama salut gibran berani sikap lumrah cawapres pamer ideide gagas gibran bangga pamer,positive
saksi ketua tim it bpn prabowosandi bhw laku curang jokowi kalah prabowo persis dg laku curang prabowogibran atur angka oleh suara dpt bhw tdk hasil krn c lengkap,saksi ketua tim bpn prabowosandi bhw laku curang jokowi kalah prabowo persis laku curang prabowogibran atur angka oleh suara dpt bhw tdk hasil krn lengkap,negative
jokowi cemas gibran acuh,jokowi cemas gibran acuh,negative
fufufafa gtgt jokowi hitung gibran ujung tanduk demo pekan lengkap tonton youtube ilc,fufufafa gtgt jokowi hitung gibran ujung tanduk demo pekan lengkap tonton youtube ilc,neutral
suka banget kompak prabowo mas gibran optimis pimpin negarawan beda generasi bawa indonesia maju sejahtera fondasi kuat letak jokowi sumber video,suka banget kompak prabowo mas gibran optimis pimpin negarawan beda generasi bawa indonesia maju sejahtera fondasi kuat letak jokowi sumber video,positive
prabowo gibran damping jokowi raya hut tni monas raya ulang hut tentara nasional indonesia tni monumen nasional monas jakarta raya presiden joko widodo jokowi inspektur upacara,prabowo gibran damping jokowi raya hut tni monas raya ulang hut tentara nasional indonesia tni monumen nasional monas jakarta raya presiden joko widodo jokowi inspektur upacara,positive
garagara kaesang gibran jokowi negara diobrakabrik teman sahabat cinta orang waras orang tone deaf,garagara kaesang gibran jokowi negara diobrakabrik teman sahabat cinta orang waras orang tone deaf,positive
presiden joko widodo rencana pulang solo sore tanggal oktober aku tidur kampung halaman moga jokowi sumbang pikir gagas utk perintah prabowo gibran indonesia,presiden joko widodo rencana pulang solo sore tanggal oktober aku tidur kampung halaman moga jokowi sumbang pikir gagas utk perintah prabowo gibran indonesia,neutral
gibran duduk sejajar prabowo gibran posisi anak jokowi wapres pilih anak ngekor duduk samping sederhana,gibran duduk sejajar prabowo gibran posisi anak jokowi wapres pilih anak ngekor duduk samping sederhana,negative
jd calon presiden periksa  nama test sehat lolos gak gibran lolos sehat sakit sehat gtgt jokowi hitung gibran ujung tanduk demo pekan youtube ilc,calon presiden periksa nama test sehat lolos gak gibran lolos sehat sakit sehat gtgt jokowi hitung gibran ujung tanduk demo pekan youtube ilc,positive
aib raja jawa akun kaskus milik gibran tibatiba muncul aksi ingat darurat intelejenintelejen bangkit kubur lucut akun fufufafa akarakarnya raja jokowi kelimpungan hadap serang kali,aib raja jawa akun kaskus milik gibran tibatiba muncul aksi ingat darurat intelejenintelejen bangkit kubur lucut akun fufufafa akarakarnya raja jokowi kelimpungan hadap serang kali,negative
andi widjajanto nyata jokowi gibran resmi cawapres prabowo tega banget jokowi khianat pdip amp bu megawati  jadi presiden periode hitung anak gibran amp menantu boby  usung pdip walikota solo amp medan,andi widjajanto nyata jokowi gibran resmi cawapres prabowo tega banget jokowi khianat pdip amp megawati jadi presiden periode hitung anak gibran amp menantu boby usung pdip walikota solo amp medan,negative
karang cerita jokowi prabowo gibran prabowo jokowi gibran prabowo sebar percaya aneh marahmarah emosi dasar orang gila,karang cerita jokowi prabowo gibran prabowo jokowi gibran prabowo sebar percaya aneh marahmarah emosi dasar orang gila,negative
presiden wapres ri pilih prabowo subianto gibran rakabuming raka sambang diam presiden jokowi jalan kuta utara i lurah sumber camat banjarsari solo jawa minggu prabowo amp gibran mobil wib,presiden wapres pilih prabowo subianto gibran rakabuming raka sambang diam presiden jokowi jalan kuta utara lurah sumber camat banjarsari solo jawa minggu prabowo amp gibran mobil wib,negative
gibran rakabuming raka jemput prabowo bandara solo temu jokowi,gibran rakabuming raka jemput prabowo bandara solo temu jokowi,negative
silaturahmi shering pasti baik bangsa tweet,silaturahmi shering pasti baik bangsa tweet,positive
gibran jokowi jokowi alam x wali kota x gubernur capres jokowi calon presiden gibran calon wakil presiden jokowi ga loncat partai usung pdip gibran pindah partai jokowi ga paman mk gibran paman,gibran jokowi jokowi alam wali kota gubernur capres jokowi calon presiden gibran calon wakil presiden jokowi loncat partai usung pdip gibran pindah partai jokowi paman gibran paman,negative
sikap amp tegas pimpin sama gibran dgn jokowi  beda galak bagus krn gibran sendiri dlm ekspres kasar relatif ya,sikap amp tegas pimpin sama gibran dgn jokowi beda galak bagus krn gibran sendiri dlm ekspres kasar relatif,positive
prabowo jokowi maruf capres preswapres jalan tiga senyum senyum ngobrol lontar gestur macem macem si gibran jalan mamah arti simboliksemiotiknya coba tebak,prabowo jokowi maruf capres preswapres jalan tiga senyum senyum ngobrol lontar gestur macem macem gibran jalan mamah arti simboliksemiotiknya coba tebak,neutral
celah ungkap milik akun fufufafa kelompok dukung presiden jokowi lapor mantan menteri pemuda olahraga roy suryo sebut gibran rakabuming raka milik akun kaskus nama fufufafa ahli hukum nilai lapor celah,celah ungkap milik akun fufufafa kelompok dukung presiden jokowi lapor mantan menteri pemuda olahraga roy suryo sebut gibran rakabuming raka milik akun kaskus nama fufufafa ahli hukum nilai lapor celah,negative
fair aja ya gaesss jokowi bilang gibran muda alam logis aja jokowi gibran dikarbit langsung walkot solo jabat ngebet kuasa ya bole aja ya ga gitu keleus bro,fair aja gaesss jokowi bilang gibran muda alam logis aja jokowi gibran dikarbit langsung walkot solo jabat ngebet kuasa bole aja gitu keleus bro,negative
jokowi cawecawe jokowi mintaminta skrg gtgt jokowi hitung gibran ujung tanduk demo pekan lengkap tonton youtube ilc,jokowi cawecawe jokowi mintaminta skrg gtgt jokowi hitung gibran ujung tanduk demo pekan lengkap tonton youtube ilc,negative
sih jokowi banget jokowi sisi belah rakyat program sentuh langsung butuh rakyat gibran jokowi versi melenial ragu jokowi pasang banget,sih jokowi banget jokowi sisi belah rakyat program sentuh langsung butuh rakyat gibran jokowi versi melenial ragu jokowi pasang banget,positive
jokowi mohon dgn hormat mari selamat bangsa dgn paksa gibran cawapres biar juang waris  nilai indonesia lambat sisa negarawan mohon,jokowi mohon dgn hormat mari selamat bangsa dgn paksa gibran cawapres biar juang waris nilai indonesia lambat sisa negarawan mohon,positive
kayak aku gibran da maaf gibran kuat jokowi jerat  lepas nego prabowo ringan tekan jokowi  dibackup oligarki,kayak aku gibran maaf gibran kuat jokowi jerat lepas nego prabowo ringan tekan jokowi dibackup oligarki,negative
pesimis bentuk badan terima negara simak jelas lengkap ya,pesimis bentuk badan terima negara simak jelas lengkap,negative
kenal langsung ngobrol foto bareng salam dukung beliau jokowi gibran kaesang soekarno megawati puan maharani pdip perindo ppp,kenal langsung ngobrol foto bareng salam dukung beliau jokowi gibran kaesang soekarno megawati puan maharani pdip perindo ppp,neutral
anies amp ganjar mk bidik jokowi amp gibran faizal assegaf kritikus kubu anies ganjar juang mahkamah konstitusi bidik dinasti jokowi bocor ihwal bincang serius tarik pelanpelan prabowo kes,anies amp ganjar bidik jokowi amp gibran faizal assegaf kritikus kubu anies ganjar juang mahkamah konstitusi bidik dinasti jokowi bocor ihwal bincang serius tarik pelanpelan prabowo kes,neutral
gue tikam ganjar pdi juang drama politik sadis tunjuk jokowi misi lanjut lumpuh airlangga hartarto kuasa golkar bahlil gibran kiamat,gue tikam ganjar pdi juang drama politik sadis tunjuk jokowi misi lanjut lumpuh airlangga hartarto kuasa golkar bahlil gibran kiamat,negative
wait and see silah gerindra usung gibran sbg wakil prabroro silah golkar usung gibran sbg wakil prabroro silah pan usung gibran sbg wakil prabroro menit hari daftar capres cawapres pakde jokowi tuju gibran wakil,wait and see silah gerindra usung gibran sbg wakil prabroro silah golkar usung gibran sbg wakil prabroro silah pan usung gibran sbg wakil prabroro menit hari daftar capres cawapres pakde jokowi tuju gibran wakil,negative
anak jahat pilkada bantu sm ganjar maju pilpres bantu sm ganjar presiden dukung bela sm ganjar gibran walikota walikota bantu bela sm ganjar lihat balas,anak jahat pilkada bantu ganjar maju pilpres bantu ganjar presiden dukung bela ganjar gibran walikota walikota bantu bela ganjar lihat balas,negative
jokowi lengser gibran geser jokowi kenang presiden amburadul,jokowi lengser gibran geser jokowi kenang presiden amburadul,negative
jokowi kian kentara dukung prabowogibran menang putar penyalahgunaan kuasa,jokowi kian kentara dukung prabowogibran menang putar penyalahgunaan kuasa,positive
